time_step,a,b,distance,uniq_a,uniq_b,redun,syn
12,3,76,0.4005597175588576,0.0935312095937605,0.12673440039107575,0.025702539472784225,0.22732819857441555
12,141,207,0.3180309532844088,0.13216934056044455,0.07955358953284687,0.015763653432664435,0.19339799584945938
12,104,205,0.5071697379737724,0.08214013688932144,0.10857495783052021,0.014079633906660297,0.18076629804032418
12,76,252,0.2419004110153641,0.1319266826111317,0.07832792305492875,0.02051025704882195,0.18240297747598655
12,117,177,0.5026497636662437,0.11949540862470288,0.10119871727469473,0.024239576968890036,0.2375486545763592
12,38,218,0.38231744107827603,0.08703254969335339,0.09567635500764428,0.01714446231086862,0.20284965465226046
12,161,226,0.4593913787398786,0.08219648591351195,0.10890616617562288,0.006854977353754704,0.17307648527182184
12,85,125,0.18831393296305182,0.1347314242954787,0.11114634542132572,0.01563613077690794,0.20711526522307144
12,194,242,0.6242944376183612,0.06701157741453312,0.10370308538627851,0.012272927302027198,0.2328620205708507
12,107,285,0.3758377049099327,0.06224447169920258,0.11463179553865205,0.013825250700075037,0.1807757138774364
12,14,117,0.046952804459385114,0.10791253881138307,0.1133313748450777,0.03040361081129174,0.24046426229176454
12,55,153,0.42370989352939975,0.12860802156860132,0.12378109688039556,0.017620297117895076,0.23883697695331785
12,72,94,0.49284834270516853,0.1076460995122537,0.07920496325705215,0.010213694373803373,0.19175963301689647
12,30,275,0.29308364188392844,0.08563389404630797,0.08647778933772299,0.013526813914395003,0.11852028649695479
12,267,281,0.585845445807544,0.11880035193344314,0.11204191592089759,0.010090886824779072,0.21680232260693222
12,72,274,0.26740122962721863,0.10686472713705471,0.13794962553652432,0.01099506643992551,0.16503685422705106
12,5,67,0.41451775574671906,0.10284780862834185,0.06876603149592718,0.011345534265055274,0.18151552345530986
12,22,234,0.41036534561828547,0.11141530376090901,0.10522434967841554,0.01712136771174201,0.182181115955804
12,35,51,0.5381231542253295,0.12034218120100021,0.09808754293351786,0.011421856020359875,0.21591380228847745
12,34,236,0.5366878160638134,0.06859757496624701,0.12582602061962192,0.012668243909115834,0.23227210791293773
12,14,59,0.4994942958969655,0.11633454990163299,0.13279799350260238,0.02198159892971399,0.16479385831499016
12,97,182,0.4879262175264937,0.09153195567922413,0.08858286886798128,0.013881724936156345,0.22437076202004036
12,25,28,0.3646860175010932,0.09744170483701863,0.1712390639137373,0.014362466494765053,0.18721185541504148
12,118,290,0.5034127042497766,0.09939424924487503,0.13858483283059422,0.016978562764320415,0.24636504649377677
12,129,216,0.45811259070657034,0.11155018103143324,0.10945716144751291,0.008793837389267645,0.17187486902534044
12,9,225,0.36008141374915614,0.11649369048209955,0.10322803884090513,0.017337735365809764,0.22472335819561673
12,26,261,0.4541546568215291,0.09455984199618547,0.09486547680194458,0.020219249153289112,0.1901722714349643
12,199,229,0.40772643099965866,0.09131461566480041,0.08578047045764987,0.007456182448972948,0.21117623862889534
12,116,122,0.19175053192642613,0.07461052800026952,0.11521975329151479,0.017067782723581393,0.24964367867130655
12,11,46,0.42241476912302806,0.07451745024157967,0.099632056991117,0.027666122104327437,0.23125265179167975
12,121,130,0.4708340307838115,0.11940502567405373,0.09734725921097925,0.021409162099347928,0.21774638229255716
12,38,296,0.22641783984947386,0.09011110300244314,0.10811906146734444,0.014065909427249612,0.19593542546704246
12,201,279,0.06755982765246421,0.07257022516261061,0.09086979208573956,0.014933130870430744,0.20286117125326042
12,52,90,0.5405362027898462,0.10196962540687353,0.08965262657176049,0.005687553800984749,0.22000627253723648
12,102,115,0.4280886849842983,0.12581425113541933,0.09803787716523857,0.016947261470348224,0.20168724050200693
12,273,277,0.394233138851713,0.11638457608524337,0.10622874276224374,0.014155198466945601,0.22432179074828662
12,83,203,0.6428426098600597,0.10605526658371665,0.1255162708666602,0.01329056800526282,0.19604207838796128
12,13,48,0.45431842117218596,0.1129532833139694,0.10004077786228405,0.013499626929612235,0.21245321036902176
12,42,267,0.3966481491216316,0.1030216012413929,0.10848407071734632,0.02040716714991879,0.20197903497185798
12,76,165,0.4917804695295513,0.13532245725173875,0.0986488308489344,0.017114482892521696,0.21169638872932595
12,8,208,0.16511314629689572,0.11539820150908742,0.07710220871936836,0.01811201897878799,0.2637555051158871
12,110,218,0.512132790157441,0.11034436714558382,0.09350146325003876,0.019319354354488907,0.22494657547558328
12,9,212,0.44892592587189023,0.11792585626821075,0.09947828278331913,0.015905569529543695,0.15132979773108746
12,128,288,0.5234807252836879,0.08452627384781072,0.09996563101550693,0.011133944381934852,0.20598082422410435
12,112,147,0.657686514781546,0.11765668744325176,0.09352716339315298,0.017789425109754384,0.20828056019778973
12,220,274,0.2531456147748262,0.12874890232916153,0.13621516489575625,0.012729527350256398,0.13778383270555272
12,32,163,0.24357607706569426,0.07961319625292311,0.10332284098624205,0.024422669153347912,0.2073896372817492
12,65,261,0.3612447018792229,0.10425709589789214,0.09964872249826372,0.01543600345701411,0.18298548538466664
12,170,284,0.23931124752398455,0.07206498877533475,0.09607067700447212,0.014567165446002117,0.20402917735770876
12,99,298,0.5625623024981476,0.10015536787775753,0.1117770942355385,0.01845157210870202,0.2557263811730581
12,78,107,0.3562073163368641,0.1009299146285649,0.06752093571907052,0.008548786901885194,0.172492845169129
12,120,281,0.4489042150055707,0.09308714313640955,0.11167113943385845,0.010461663189308704,0.24831556895935014
12,131,276,0.5182383077500896,0.11433888471257499,0.09276641662154081,0.008504672109355085,0.2289745613482661
12,134,165,0.3855678613632581,0.10461878476231637,0.10146128250570667,0.014302031107321131,0.19172880552814764
12,136,261,0.3521047759221397,0.11943191755640406,0.10805960991493375,0.007025116366254483,0.17472865174320162
12,57,226,0.45924740527775754,0.09296201481831778,0.10614627487038482,0.00961486852046671,0.19592825828654759
12,62,264,0.40619765460083324,0.10784270818249404,0.13316017544328138,0.011208460932964764,0.21297827581609585
12,91,286,0.32687857111359836,0.11249968559934463,0.08366245327361259,0.012589008572454569,0.21297818500576993
12,107,170,0.5848821027455093,0.06861754335868703,0.07917997483573341,0.007452179867256881,0.14451791126749747
12,123,230,0.1837762744406917,0.08889210002685338,0.07966813839429651,0.008586529728700082,0.23247274275087104
12,107,291,0.45419363985269817,0.059625888030565635,0.12842878045236059,0.01644383461499052,0.17434468375761325
12,7,135,0.4102386178994493,0.08365144392252798,0.08314229301440558,0.010492059747804983,0.19389995849253783
12,26,263,0.2540009397984917,0.10239737878706481,0.08642304057303633,0.012381712848748824,0.20408078641145622
12,163,273,0.4075730371230219,0.11510149693932294,0.11789576085065982,0.012644013876191698,0.19302118545038915
12,120,158,0.3874676990622048,0.08234574411522703,0.1552852722229172,0.021203061708619714,0.20535972122435808
12,245,271,0.18506297456920281,0.09049776286455256,0.09688300466348955,0.021662176460669702,0.22601925770698994
12,109,192,0.46380650854864947,0.10706463585015867,0.11750938170804853,0.016635835951572087,0.18159045197821877
12,81,109,0.29632655210666936,0.08227494223024442,0.10261172860292406,0.021088742688430723,0.23016614208511665
12,146,180,0.38913063124450853,0.10040044014217565,0.11181837799042303,0.013742593686746032,0.16601104175001913
12,242,279,0.2813656585165525,0.10763009528728254,0.09745700551616052,0.008345916962893551,0.2097589990498454
12,23,237,0.30665753078691466,0.09154714540704972,0.07170833376611656,0.023478870359862417,0.21803192111993974
12,238,279,0.10964522524024425,0.12167809182820853,0.09014988580210712,0.015653036197526823,0.21169576904448473
12,150,243,0.19912734313898497,0.12518643069225627,0.12429292059608794,0.021915742926531742,0.16017372638920824
12,104,123,0.49182840603475453,0.0753838280432004,0.07664268683082244,0.02083594287369718,0.20911794926887595
12,223,225,0.46689646951173175,0.09755313800046696,0.10983027757624153,0.010735496024452326,0.19826262508651826
12,18,259,0.1660121412535752,0.0790389189212509,0.0731769036311627,0.011276647613974636,0.18483229453944716
12,45,227,0.3411408058379039,0.10002746484069817,0.10115159202279903,0.011738271357928862,0.22298596173599838
12,31,60,0.6341350537021438,0.13354434919206024,0.08104999716845351,0.015665086206554407,0.18026260408921058
12,213,251,0.6352919624457622,0.08677986369098796,0.08909693076194654,0.009739314069911326,0.19584367328112462
12,113,149,0.4565406248794682,0.10325667268494379,0.10664600988732022,0.01982731600888961,0.19224692252523568
12,152,209,0.23881939951728706,0.09351771822226025,0.09611030361210225,0.01137399552642443,0.15314743654173535
12,11,115,0.42832327637465395,0.09556247796941551,0.10836404408025373,0.006621094381424525,0.17936251865565866
12,178,180,0.4613666922147115,0.09164074562754602,0.10787478926805318,0.017686182441801132,0.2560844869423713
12,56,99,0.5363063190558263,0.1379489033429758,0.10840049731513367,0.010206442715299066,0.15162558407467364
12,85,275,0.291873932929323,0.13728231440517075,0.086919363088935,0.013085240270540421,0.19856815766507685
12,179,282,0.21043209431614815,0.12385035184851306,0.0840525256502596,0.014679151806762283,0.21033426323144155
12,52,113,0.5023391593144741,0.08654065608992448,0.10196746586929117,0.021116522550173128,0.21065334034178784
12,70,256,0.5772241541456612,0.11829189353026925,0.07619979374643349,0.027625068760705696,0.19424275982103634
12,127,167,0.3503064005408897,0.1147287704879195,0.11262704137698305,0.021687451229346386,0.2353185596237899
12,14,195,0.29276877884014496,0.1060390067286956,0.09359891819392117,0.0322771430165303,0.22090929627901001
12,14,84,0.09639300792446366,0.11914669295661744,0.09162948660261981,0.01916945628955044,0.18517776876699532
12,25,292,0.33127572488694057,0.08520087117744009,0.09032161555100299,0.026603299194235083,0.17584803315236552
12,12,180,0.43162532092591377,0.14326523267469551,0.1103421750769717,0.015218796697293008,0.16433900856528627
12,146,221,0.1867210950815671,0.09894424341281136,0.09406260509428169,0.01519879056735185,0.16329929567427381
12,19,79,0.4161582274611218,0.1293215433759435,0.10447151769422933,0.014195477264058454,0.19709962800664727
12,108,188,0.45660770854630905,0.10701109545392881,0.11935214259214744,0.013151649164027585,0.15509662771274124
12,191,280,0.585177324950075,0.08912127029375798,0.08798096346688078,0.022135056638375075,0.2074660613336219
12,17,27,0.11127545810428517,0.09682701964722798,0.09805065673700805,0.022326125650494633,0.19221889368415335
12,36,255,0.5365419741419629,0.10161744150279708,0.13883301309303356,0.011066041668020776,0.2069361121220088
12,176,234,0.2618310902672311,0.09495024267985232,0.0923341414463307,0.030011575995852205,0.20894888647136556